76/777/867|gtw123|https://imgur.com/a/9zNHPFv|CF,CB,CFNG,CBNG
77/780/654/GF|DarkMatter_Zombie||
78/679/467|gtw123||
85/287/257|ToughThought||
89/213/101|Kaisy||
91/138/35/F|AapOpSokken||
94/205/89|SirDredgery||
109/137/23/F|DarkMatter_Zombie||
109/144/32|bsmith_81||
145/119/90|caeonosphere||
145/126/27|bsmith_81||
145/140/19/F|wlivi||
145/143/17/F|Magma||
145/145/19|SirDredgery||
150/184/10|wl|https://i.imgur.com/NIQEUQm.gifv|BC,BNC
157/130/10|wl|https://i.imgur.com/NIQEUQm.gifv|BF,BNF
265/91/99|ToughThought||
798/81/97|yifeixuer|https://imgur.com/cmK1SOr|FC,FB,FIC,FIB
