15/149/34/G|gtw123|https://imgur.com/a/3gZyjQp|CF,CB
22/178/132/F|pseudonym404|https://i.imgur.com/qWNdwHI.gifv|CFNG,CBNG
26/160/51|gtw123||
28/43/39|ToughThought||
28/44/38/F|notgreat||
33/32/25/F|sebassu||
34/41/39|wl||
36/29/24/F|Moknicorra||
38/38/38|Pineapple|https://cdn.discordapp.com/attachments/1209843628193620009/1209988768010870824/2024-02-21-16-21-21.gif?ex=65e8ecda&is=65d677da&hm=28a6163352b27ca87df9f1818d1ca8bcae118d907ed9f27f1199c8afddd49cfe&|
41/26/19/F|DarkMatter_Zombie||
41/29/22|bsmith_81||
46/25/22|rolamni||
46/27/20|rolamni||
47/46/5/F|Snowball||
47/49/5|Snowball|https://i.imgur.com/ZRUPPjw.gifv|BNC
50/23/21|Community|https://i.imgur.com/gmW0QTL.gifv|FIC
53/42/18|bsmith_81||
55/32/17/F|llamadeus||
69/43/6/F|OracleOfEpirus||
72/32/6/F|notgreat||
72/50/4/F|Entity|http://i.imgur.com/kbDpD8X.gifv|BC
73/47/4/F|Community|https://i.imgur.com/tdD36t4.gifv|BF
74/23/9|Community|https://i.imgur.com/WTYS6Im.gifv|FIB
82/33/5/F|Snowball||
92/32/5/F|isaac.wass||
102/29/6|Pineapple|https://cdn.discordapp.com/attachments/1209843628193620009/1209971097873686549/2024-02-21-15-11-31.gif?ex=65e8dc65&is=65d66765&hm=b674ee2e81b43d4f6e7db446768e46b86334e4006874b995ee5a5c6a164c7bd9&|
103/33/5|Entity|https://i.imgur.com/sgXcy0Z.gifv|
120/22/36/O|Snowball|https://i.imgur.com/Jhheseq.gifv|FC,FB
186/28/5|myugaru|https://cdn.discordapp.com/attachments/281248543535267840/1211444871957844058/2024-02-25-22-48-55.gif?ex=65ee38f5&is=65dbc3f5&hm=40bfcb25f9400eaabc22d1b93da49ad735545bababa162305f31606722bb4721&|BNF
